iter	Passed	Remaining
456	825	980
457	826	977
458	827	975
459	829	973
460	830	971
461	832	968
462	833	966
463	834	963
464	835	961
465	836	958
466	837	956
467	838	953
468	839	950
469	841	948
470	842	946
471	843	944
472	845	941
473	846	939
474	847	936
475	848	933
476	849	931
477	850	929
478	852	926
479	853	924
480	854	921
481	855	919
482	856	917
483	858	915
484	859	912
485	860	910
486	862	908
487	863	905
488	864	903
489	865	901
490	866	898
491	868	896
492	869	894
493	870	891
494	872	890
495	874	888
496	876	886
497	877	884
498	879	882
499	880	880
500	882	878
501	883	876
502	884	874
503	886	872
504	888	870
505	892	871
506	893	868
507	894	866
508	896	864
509	897	862
510	898	859
511	899	857
512	901	855
513	902	853
514	905	852
515	906	850
516	908	848
517	909	846
518	910	844
519	912	842
520	913	840
521	914	837
522	916	835
523	917	833
524	919	831
525	920	829
526	922	827
527	923	825
528	924	823
529	926	821
530	927	819
531	928	817
532	929	814
533	931	812
534	932	810
535	934	809
536	935	806
537	936	804
538	938	802
539	939	800
540	940	798
541	942	796
542	943	793
543	944	791
544	945	789
545	947	787
546	949	786
547	950	783
548	951	781
549	952	779
550	954	777
551	955	775
552	956	773
553	957	771
554	959	769
555	960	766
556	961	764
557	963	763
558	964	761
559	965	758
560	966	756
561	968	754
562	969	752
563	970	750
564	971	748
565	973	746
566	974	744
567	975	742
568	977	740
569	978	738
570	980	736
571	981	734
572	983	732
573	984	730
574	985	728
575	987	726
576	988	724
577	989	722
578	991	720
579	993	719
580	995	717
581	996	715
582	997	713
583	999	711
584	1000	709
585	1001	707
586	1003	705
587	1004	703
588	1005	701
589	1007	700
590	1009	698
591	1011	696
592	1012	695
593	1014	693
594	1016	691
595	1017	689
596	1018	687
597	1020	685
598	1021	683
599	1022	681
600	1025	680
601	1026	678
602	1028	676
603	1029	675
604	1030	673
605	1032	671
606	1033	669
607	1034	667
608	1036	665
609	1039	664
610	1041	663
611	1043	661
612	1044	659
613	1046	657
614	1047	655
615	1048	653
616	1050	651
617	1051	649
618	1053	648
619	1055	646
620	1056	644
621	1057	642
622	1059	640
623	1060	639
624	1061	636
625	1062	634
626	1064	633
627	1065	631
628	1066	629
629	1068	627
630	1070	625
631	1071	624
632	1073	622
633	1074	620
634	1075	618
635	1076	616
636	1078	614
637	1079	612
638	1081	610
639	1082	608
640	1084	607
641	1085	605
642	1086	603
643	1087	601
644	1089	599
645	1090	597
646	1091	595
647	1092	593
648	1093	591
649	1094	589
650	1095	587
651	1096	585
652	1098	583
653	1099	581
654	1100	579
655	1101	577
656	1102	575
657	1103	573
658	1105	571
659	1106	569
660	1107	567
661	1108	565
662	1109	563
663	1110	561
664	1111	559
665	1112	558
666	1114	556
667	1115	554
668	1116	552
669	1117	550
670	1118	548
671	1119	546
672	1120	544
673	1121	542
674	1122	540
675	1124	538
676	1125	536
677	1126	535
678	1128	533
679	1129	531
680	1130	529
681	1131	527
682	1132	525
683	1133	523
684	1134	521
685	1135	519
686	1137	518
687	1138	516
688	1139	514
689	1140	512
690	1141	510
691	1142	508
692	1144	507
693	1145	505
694	1146	503
695	1147	501
696	1148	499
697	1149	497
698	1150	495
699	1152	493
700	1153	491
701	1154	489
702	1155	488
703	1156	486
704	1157	484
705	1159	482
706	1160	481
707	1161	479
708	1162	477
709	1163	475
710	1164	473
711	1165	471
712	1166	469
713	1168	467
714	1169	465
715	1170	464
716	1171	462
717	1172	460
718	1173	458
719	1175	457
720	1176	455
721	1177	453
722	1178	451
723	1179	449
724	1180	447
725	1181	446
726	1183	444
727	1184	442
728	1185	440
729	1186	438
730	1187	437
731	1189	435
732	1190	433
733	1191	431
734	1192	429
735	1193	428
736	1194	426
737	1195	424
738	1196	422
739	1198	420
740	1199	419
741	1200	417
742	1201	415
743	1202	413
744	1203	411
745	1204	410
746	1205	408
747	1206	406
748	1207	404
749	1208	402
750	1209	401
751	1211	399
752	1212	397
753	1213	395
754	1214	393
755	1215	392
756	1216	390
757	1217	388
758	1218	386
759	1219	385
760	1221	383
761	1222	381
762	1223	379
763	1227	379
764	1230	377
765	1232	376
766	1234	375
767	1236	373
768	1238	372
769	1240	370
770	1241	368
771	1243	367
772	1245	365
773	1247	364
774	1249	362
775	1251	361
776	1253	359
777	1255	358
778	1256	356
779	1258	354
780	1260	353
781	1261	351
782	1263	350
783	1265	348
784	1266	346
785	1267	345
786	1269	343
787	1270	341
788	1271	340
789	1273	338
790	1274	336
791	1275	335
792	1276	333
793	1278	331
794	1279	330
795	1281	328
796	1282	326
797	1283	324
798	1284	323
799	1285	321
800	1286	319
801	1287	317
802	1288	316
803	1289	314
804	1290	312
805	1291	310
806	1292	309
807	1294	307
808	1296	306
809	1297	304
810	1299	302
811	1300	301
812	1301	299
813	1302	297
814	1303	295
815	1304	294
816	1305	292
817	1306	290
818	1307	289
819	1309	287
820	1310	285
821	1312	284
822	1313	282
823	1314	280
824	1315	278
